YearMonthKey,ItemCode,ItemDescription,ItemCategory,ItemSize,TotalInventory,Price,StockValue,SnapshotDate
202509,11085,SHINSHU MARS IWAI TRAD JAPANESE WHISKY - 750ML,MISCELLANEOUS IMPORTED SPIRITS,750ML,0,61.99,0.0,2025-09-18
202509,357670,CONTINUUM RED BLEND WOOD CASE - 750ML,AMERICAN RED,750ML,0,348.99,0.0,2025-09-18
202509,54269,FORDHAM LEE BAD BILLY PEACH - 750ML,DOMESTIC LIQUOR SPECIALTY,750ML,0,16.99,0.0,2025-09-18
202509,54238,METZGER WINERY POMONA ROSE 750ML,AMERICAN BLUSH,750ML,0,34.99,0.0,2025-09-18
202509,57908,JOHNNIE WALKER BLACK W/2 GLASSES VAP - 750ML,IMPORTED SCOTCH,750ML,0,39.99,0.0,2025-09-18
202509,89331,FIREBALL CINN WHISKY X-MAS GIFT BOX 8/15PK - 50ML (15-Pack),BLENDED WHISKEY,15pk,0,16.35,0.0,2025-09-18
202509,82447,GHOST PINES CAB - 750ML,AMERICAN RED,750ML,144,20.99,3022.56,2025-09-18
202509,239538,JINRO 24 SOJU - 375ML,MISCELLANEOUS IMPORTED SPIRITS,375ML,0,7.99,0.0,2025-09-18
202509,69545,7 LOCKS PAINT BRANCH BOHEMIAN PILSNER 4/6 CANS - 12.0Z (6-Pack),DOMESTIC CAN BEER,6pk,0,13.99,0.0,2025-09-18
202509,21903,ST SUPERY NAPA CAB - 750ML,AMERICAN RED,750ML,0,49.99,0.0,2025-09-18
202509,82584,BAREFOOT REFRESH CRISP WHITE - CAN - 250ML (4-Pack),WINE BASED SELTZER,4pk,0,8.99,0.0,2025-09-18
202509,70488,BOWMANS PET VODKA - 200ML,DOMESTIC VODKA,200ML,1104,2.99,3300.96,2025-09-18
202509,83390,BONTERRA ZIN - 750ML,AMERICAN RED,750ML,132,17.99,2374.68,2025-09-18
202509,112917,TIAMO PINOT GRIGIO - 750ML,ITALIAN WHITE WINE,750ML,240,15.99,3837.6,2025-09-18
202509,38440,MYERS ORIGINAL RUM DARK - 1.75L (1 Bottle),IMPORTED RUM,1.75L,312,49.99,15596.880000000001,2025-09-18
202509,334063,SAND POINT CHARD - 750ML,AMERICAN WHITE,750ML,228,9.99,2277.7200000000003,2025-09-18
202509,170886,FREEMARK ABBEY S/BLC 750ML,AMERICAN WHITE,750ML,282,32.99,9303.18,2025-09-18
202509,80546,BAREFOOT CEL ROSE - BIB - 3L,AMERICAN BLUSH,3L,36,21.99,791.64,2025-09-18
202509,15372,101 NORTH MOSCATO 750ML,AMERICAN TABLE WINE,750ML,996,7.99,7958.04,2025-09-18
202509,241568,PARADOSSO S/BLANC - 750ML,ITALIAN WHITE WINE,750ML,0,11.99,0.0,2025-09-18
202509,16345,CLANDESTINO TRADITIONAL 200ML,DOMESTIC RUM,200ML,0,21.99,0.0,2025-09-18
202509,378004,MATCHBOOK EST BOTTLED MALBEC - 750ML,AMERICAN RED,750ML,0,19.99,0.0,2025-09-18
