"Code","Category","Description","Size","Total Inventory","Price","Sale Price","Sale End Date"
"74027","DOMESTIC VODKA","BRECKENRIDGE VODKA - 1.75L","1.75L","0","$38.99",,
"33332","IMPORTED VODKA","BELVEDERE VODKA - 750ML","750ML","0","$32.99",,
"71754","RED BORDEAUX WINE","CH LAFITE ROTHCHILD '20 - 750ML","750ML","0","$879.99",,
"56809","IMPORTED RUM","GOSLINGS BLACK SEAL RUM - 1.75L","1.75L","180","$32.99",,
"13625","BLENDED WHISKEY","SHMIDT SILVER WHISKY 750ML","750ML","0","$38.99",,
"243737","AMERICAN RED","SKYFALL WASH ST CAB - 750ML","750ML","0","$19.99",,
"89248","LIQUEUR","BARTON 1792 DIST CHOCOLATE BOURB BALL CREAM LIQ - 750ML","750ML","0","$27.99",,
"243628","ITALIAN RED WINE","PERTINACE BARBARESCO NERVO - 750ML","750ML","0","$76.99",,
"10480","ARMAGNAC","CHATEAU LAUBADE ARMAGNAC VSOP - 750ML","750ML","0","$49.99",,
"42661","STRAIGHT BOURBON WHISKEY","OLD BARDSTOWN 101PROOF STRAIGHT BOURB WHISKEY - 750ML","750ML","0","$40.99",,
"10869","DOMESTIC CORDIALS","99 SCHNAPPS - PINEAPPLE - 750ML","750ML","0","$12.99",,
"15381","LIQ BASED RTD","DEVILS BACKBONE CRANBERRY SMASH RTD 6/4 CANS - 12.0Z (4-Pack)","4pk","0","$12.99",,
"241306","AUSTRALIAN","19 CRIMES SAUVIGNON BLOCK - 750ML","750ML","0","$12.99",,
"32246","DOMESTIC LIQUOR SPECIALTY","OLE SMOKY SOUR RAZZIN 40 750ML","750ML","0","$27.99",,
"379213","TEQUILA","PURASANGRE TEQUILA ANEJO 80 PF - 750ML","750ML","0","$90.99",,
"82406","AMERICAN RED","R STRONG SONOMA CAB - 750ML","750ML","84","$22.99",,
"170775","AMERICAN RED","ELK COVE LA BOHEME P/NOIR 750ML","750ML","0","$68.99",,
"72675","PRE-MIX COCKTAILS","BULLEIT BOURBON - MANHATTAN - RTD - 750ML","750ML","0","$28.99",,
"329339","ARGENTINA","SANTA JULIA ORGANICA CHARD - 750ML","750ML","0","$13.99",,
"243735","AMERICAN RED","SKYFALL WASH ST RED BLEND - 750ML","750ML","0","$19.99",,
"41190","COGNAC","MARTELL COGNAC - CORDON BLEU - 750ML","750ML","0","$224.99",,
"70803","RED BORDEAUX WINE","CH MOUTON ROTHCHILD '20 - 750ML","750ML","0","$752.99",,
"158","STORE SUPPLIES","ROSSINI WN BTL (DECAL) ACCESSORIES SET - BAG","BAG","0","$14.99",,
"89987","STRAIGHT BOURBON WHISKEY","ANGELS ENVY TRIPLE OAK KY S/B WHISKEY - 750ML","750ML","402","$69.99",,
"17216","DOMESTIC VODKA","WISHER VODKA 750ML","750ML","0","$41.99",,
"22993","IMPORTED RUM","RHUM BARBANCOURT 15 YR ES RS - 750ML","750ML","0","$67.99",,
"234102","AMERICAN WHITE","BOGLE VYDS PHANTOM CHARD - 750ML","750ML","0","$15.99",,
"62777","MISCELLANEOUS IMPORTED WINE","IMPERO PREMIUM MONTE PULCIANO 750ML","750ML","156","$10.99",,
"371836","MISCELLANEOUS IMPORTED WINE","RIUNITE FRUIT FRESHERS PEACH ROSEHIP - 750ML","750ML","0","$9.99",,
"40417","ITALIAN RED WINE","GAJA BARBARESCO 6/CS - 750ML","750ML","0","$369.99",,
"21032","IMPORTED RUM","RHUM BARBANCOURT - 3* 4YR - 750ML","750ML","84","$28.99",,
"82003","AMERICAN WHITE","CK MONDAVI P/GRIG - 750ML","750ML","0","$8.99",,
"428096","AMERICAN BLUSH","BARNARD GRIFFIN SANG RSE - 750ML","750ML","0","$18.99",,
"37885","AMERICAN WHITE","J LOHR ARROYO CHARD - 750ML","750ML","0","$21.99",,
"170801","LIQ BASED RTD","COPPA COCKTAILS PINA COLADA 750ML","750ML","0","$17.99",,
"406040","CHILE","CARTA VIEJA S/BLC - 1.5L","1.5L","0","$14.99",,
"247162","RED BORDEAUX WINE","CH PERRUCHON LUSSAC-ST EMILION - 750ML","750ML","0","$15.99",,
"89106","BLENDED WHISKEY","TRAVERSE CITY WHISKEY BARREL PROOF COMMEMORATIVE WOOD BOX 4PK - 200ML (4-Pack)","4pk","0","$143.99",,
"238335","STRAIGHT RYE WHISKEY","CATOCTIN CREEK RAGNAROK RYE WHISKY - 750ML","750ML","0","$104.99",,
"29505","IRISH WHISKEY","JAMESON IRISH WHISKEY - 750ML","750ML","2892","$29.99",,
"328179","ITALIAN WHITE WINE","LUNA NUDA P/GRIG - 750ML","750ML","1512","$13.99",,
"79739","IMPORTED CORDIALS","YUKON JACK LIQUEUR - 1.75L","1.75L","0","$26.99",,
"89433","SINGLE MALT SCOTCH","BALLECHIN HIGHLAND S/M SCOTCH WHISKY 12YR OLOROSO CASK - 700ML","700ML","0","$239.99",,
"36234","IMPORTED VODKA","LUKSUSOWA VODKA 1.75L","1.75L","756","$23.99",,
"157","STORE SUPPLIES","ROSSINI DECANTER & GLASS SET - BAG","BAG","0","$99.99",,
"240589","STRAIGHT RYE WHISKEY","ROSSVILLE UNION MASTER CRAFTED STRAIGHT RYE WHISKEY - 750ML","750ML","0","$34.99",,
"331171","AUSTRALIAN","PARINGA SHZ - 750ML","750ML","0","$14.99",,
"191248","AUSTRALIAN","YALUMBA Y SERIES CAB - 750ML","750ML","0","$16.99",,
"90602","TEQUILA","JOSE CUERVO RSV DE LA FAM REPO TEQUILA 750ML","750ML","0","$80.99",,
"42317","TEQUILA","CANTERA NEGRA SILVER TEQUILA - 750ML","750ML","0","$38.99",,
"58009","SINGLE MALT SCOTCH","LAPHROAIG 10YR - CASK STRENGTH - 750ML","750ML","0","$94.99",,
"84484","AMERICAN WHITE","GLEN ELLEN RES CHARD - 750ML","750ML","0","$9.99",,
"46223","IMPORTED CORDIALS","BITTER TRUTH ORANGE BITTERS - 200ML","200ML","0","$25.99",,
"173282","AMERICAN WHITE","BARNARD GRIFFIN CHARD - 750ML","750ML","0","$17.99",,
"89177","BLENDED WHISKEY","OLE SMOKY TENN SALTY CARAMEL WHISKEY - 375ML","375ML","0","$17.99",,
"298600","CHAMPAGNE","BEAU  JOIE NATURE 750ML","750ML","0","$94.99",,
