InventoryCode,SalesCode,MatchType,InventoryCategory,InventoryDescription,SalesItemType,SalesDescription
80458,80458,Direct,IMPORTED VODKA FLAVORS,SVEDKA VODKA MANGO PINEAPPLE - 1.75L,LIQUOR,SVEDKA VODKA MANGO PINEAPPLE - 1.75L
71619,71619,Direct,STRAIGHT BOURBON WHISKEY,BULLEIT BOURBON - 1.75L (1 Bottle),LIQUOR,BULLEIT BOURBON - 1.75L
23320,23320,Direct,DOMESTIC BOTTLE BEER,SIERRA NEVADA TORPEDO EXTRA IPA-NR - 12.0Z (6-Pack),BEER,SIERRA NEVADA TORPEDO ALE 4/6 NR - 12OZ
83759,83759,Direct,SPARKLING,BAREFOOT BUBBLY MOSCATO SPUMANTE - 750ML,WINE,BAREFOOT BUBBLY MOSCATO SPUMANTE - 750ML
326848,326848,Direct,AMERICAN RED,UNDERWOOD CELLARS P/NOIR - 750ML,WINE,UNDERWOOD CELLARS P/NOIR - 750ML
84679,84679,Direct,ITALIAN WHITE WINE,RUFFINO MOSCATO D'ASTI - 750ML,WINE,RUFFINO MOSCATO D'ASTI - 750ML
79731,79731,Direct,VERMOUTH,CINZANO DRY VERMOUTH - 750ML,WINE,CINZANO DRY VERMOUTH - 750ML
79502,79502,Direct,VERMOUTH,MARTINI & ROSSI DRY VERMOUTH - 1L,WINE,MARTINI & ROSSI DRY VERMOUTH - 1L
428096,428096,Direct,AMERICAN BLUSH,BARNARD GRIFFIN SANG RSE - 750ML,WINE,BARNARD GRIFFIN SANG RSE - 750ML
73973,73973,Direct,STRAIGHT BOURBON WHISKEY,RUSSELL'S RESERVE SINGLE BARREL BBN - 750ML,LIQUOR,RUSSELL'S RESERVE SINGLE BARREL BBN - 750ML
300012,300012,Direct,FRANCE-OTHER,CH D'ESCLANS WHISPERING ANGEL - 750ML,WINE,CH D'ESCLANS WHISPERING ANGEL - 750ML
80456,80456,Direct,NEW ZEALAND,WHITEHAVEN S/BLC - 750ML,WINE,WHITEHAVEN S/BLC - 750ML
73573,73573,Direct,TEQUILA,KAH ANEJO TEQUILA - 750ML,LIQUOR,KAH TEQUILA - ANEJO - 750ML
350756,350756,Direct,STRAIGHT RYE WHISKEY,SAGAMORE SPIRIT DOUBLE OAK - 750ML,LIQUOR,SAGAMORE SPIRIT DOUBLE OAK - 750ML
82247,82247,Direct,SPARKLING,ANDRE BRUT ROSE - 750ML,WINE,ANDRE BRUT ROSE - 750ML
50105,50105,Direct,IMPORTED CORDIALS,CAMPARI APERITIVO - 750ML,LIQUOR,CAMPARI APERITIVO - 750ML
87411,87411,Direct,AMERICAN RED,COPPOLA DIR CUT P/NOIR - 750ML,WINE,COPPOLA DIR CUT P/NOIR - 750ML
296912,296912,Direct,AMERICAN RED,COOPER HILL PINOT NOIR - 750ML (1 Bottle),WINE,COOPER HILL PINOT NOIR - 750ML
70924,70924,Direct,NON-ALCOHOLIC MIXERS,MASTER OF MIXES COCKTAIL ESS LIME JUICE-NA - 375ML,NON-ALCOHOL,MASTER OF MIXES COCKTAIL ESS LIME JUICE - 375ML
70761,70761,Direct,TEQUILA,MILAGRO SEL BRL REPOSADO - 750ML,LIQUOR,MILAGRO SEL BRL REPOSADO - 750ML
80538,80538,Direct,AMERICAN RED,WM HILL CAL  P/NOIR - 750ML,WINE,WM HILL CC P/NOIR
308235,308235,Direct,AMERICAN RED,DAOU CABERNET - 750ML,WINE,DAOU CAB                       25751 - 750ML
24449,24449,Direct,COGNAC,REMY MARTIN 1738 - 750ML,LIQUOR,REMY MARTIN 1738 - 750ML
27340,27340,Direct,SINGLE MALT SCOTCH,GLENLIVET 12YR DOUBLE OAK - 750ML,LIQUOR,GLENLIVET 12YR - 750ML
11380,11380,Direct,IMPORTED RUM,FLOR DE CANA RUM - 12 YEAR - CENTENARIO - 750ML,LIQUOR,FLOR DE CANA RUM - CENTENARIO - 750ML
83998,83998,Direct,AMERICAN WHITE,CH ST MICH RIESLING - 1.5L,WINE,CH ST MICH RIESLING  - 1.5L
71689,71689,Direct,STRAIGHT BOURBON WHISKEY,WOODFORD RESERVE BOURBON - 375ML,LIQUOR,WOODFORD RESERVE BOURBON - 375ML
69256,69256,Direct,AMERICAN WHITE,WOODBRIDGE RIES MOSER - 1.5L,WINE,WOODBRIDGE RIES MOSER - 1.5L
54941,54941,Direct,IMPORTED RUM,FLOR DE CANA CENT 18YR - 750ML,LIQUOR,FLOR DE CANA 18YR - 750ML
80738,80738,Direct,AMERICAN WHITE,BAREFOOT CEL S/BLC - 750ML,WINE,BAREFOOT CEL S/BLC - 750ML
240670,240670,Direct,DOMESTIC LIQUOR SPECIALTY,TENTH WARD DIST CO ABSINTHE NOUVELLE - 750ML,LIQUOR,TENTH WARD DIST CO ABSINTHE NOUVELLE - 750ML
12963,12963,Direct,STRAIGHT BOURBON WHISKEY,OLD GRAND DAD BOURBON - 1L,LIQUOR,OLD GRAND DAD BOURBON - 1L
82037,82037,Direct,AMERICAN WHITE,CK MONDAVI CHARD - 750ML,WINE,CK MONDAVI CHARD - 750ML
46676,46676,Direct,SOUTH AFRICAN,JAM JAR SWEET SHZ - 750ML,WINE,JAM JAR SWEET SHZ - 750ML
82961,82961,Direct,AMERICAN WHITE,COPPOLA DIAMOND CHARD - 750ML (1 Bottle),WINE,COPPOLA DIAMOND CHARD - 750ML
42367,42367,Direct,AMERICAN RED,SHAFER RELENTLESS - 750ML,WINE,SHAFER RELENTLESS - 750ML
80895,80895,Direct,WINE BASED SELTZER,BAREFOOT REFRESH POM- ROSE SPRITZER - 250ML (4-Pack),WINE,BAREFOOT REFRESH ROSE SPRITZER - 250ML
70294,70294,Direct,IMPORTED VODKA FLAVORS,CIROC PEACH VODKA - 1.75L,LIQUOR,CIROC PEACH VODKA - 1.75L
166662,166662,Direct,NON-ALCOHOLIC MIXERS,AGALIMA SWEET & SOUR MIX - 1L,NON-ALCOHOL,AGALIMA SWEET & SOUR MIX - 1L
351452,351452,Direct,MISCELLANEOUS IMPORTED SPIRITS,SHINJU WHISKEY - 750ML,LIQUOR,SHINJU WHISKY - 750ML
73885,73885,Direct,DOMESTIC VODKA FLAVORS,BURNETTS VODKA - LIME - 1.75L,LIQUOR,BURNETTS VODKA -LIME - 1.75L
69108,69108,Direct,IMPORTED CORDIALS,RICARD ANISE - 750ML,LIQUOR,RICARD ANISE - 750ML
73696,73696,Direct,SINGLE MALT SCOTCH,BALVENIE 30YR SINGLE MALT SCOTCH - 750ML,LIQUOR,BALVENIE 30YR SINGLE MALT SCOTCH - 750ML
