MonthDate,YearMonthKey,ISR_SA,ISR_NSA,Gap_abs,Gap_pct
2009-07-01,200907,1.42,1.37,0.04999999999999982,3.649635036496337
2009-08-01,200908,1.37,1.31,0.06000000000000005,4.580152671755729
2009-09-01,200909,1.41,1.48,-0.07000000000000006,-4.729729729729734
2009-10-01,200910,1.4,1.5,-0.10000000000000009,-6.666666666666672
2009-11-01,200911,1.4,1.5,-0.10000000000000009,-6.666666666666672
2009-12-01,200912,1.39,1.16,0.22999999999999998,19.82758620689655
2010-01-01,201001,1.39,1.5,-0.1100000000000001,-7.33333333333334
2010-02-01,201002,1.4,1.53,-0.13000000000000012,-8.496732026143798
2010-03-01,201003,1.37,1.34,0.030000000000000027,2.2388059701492558
2010-04-01,201004,1.36,1.37,-0.010000000000000009,-0.7299270072992706
2010-05-01,201005,1.38,1.32,0.05999999999999983,4.5454545454545325
2010-06-01,201006,1.39,1.36,0.029999999999999805,2.205882352941162
2010-07-01,201007,1.4,1.34,0.05999999999999983,4.477611940298495
2010-08-01,201008,1.41,1.36,0.04999999999999982,3.676470588235281
2010-09-01,201009,1.41,1.47,-0.06000000000000005,-4.081632653061228
2010-10-01,201010,1.39,1.5,-0.1100000000000001,-7.33333333333334
2010-11-01,201011,1.38,1.46,-0.08000000000000007,-5.479452054794526
2010-12-01,201012,1.37,1.16,0.2100000000000002,18.103448275862085
2011-01-01,201101,1.37,1.49,-0.11999999999999988,-8.053691275167777
2011-02-01,201102,1.35,1.48,-0.1299999999999999,-8.783783783783777
2011-03-01,201103,1.35,1.32,0.030000000000000027,2.2727272727272747
2011-04-01,201104,1.35,1.35,0.0,0.0
2011-05-01,201105,1.36,1.3,0.06000000000000005,4.615384615384619
2011-06-01,201106,1.35,1.31,0.040000000000000036,3.0534351145038197
2011-07-01,201107,1.35,1.31,0.040000000000000036,3.0534351145038197
2011-08-01,201108,1.36,1.29,0.07000000000000006,5.426356589147292
2011-09-01,201109,1.34,1.4,-0.05999999999999983,-4.285714285714274
2011-10-01,201110,1.34,1.45,-0.10999999999999988,-7.586206896551715
2011-11-01,201111,1.34,1.42,-0.07999999999999985,-5.633802816901398
2011-12-01,201112,1.34,1.13,0.2100000000000002,18.584070796460196
2012-01-01,201201,1.34,1.47,-0.1299999999999999,-8.84353741496598
2012-02-01,201202,1.33,1.42,-0.08999999999999986,-6.338028169014074
2012-03-01,201203,1.34,1.3,0.040000000000000036,3.0769230769230793
2012-04-01,201204,1.36,1.38,-0.019999999999999796,-1.449275362318826
2012-05-01,201205,1.37,1.3,0.07000000000000006,5.3846153846153895
2012-06-01,201206,1.4,1.36,0.039999999999999813,2.9411764705882213
2012-07-01,201207,1.4,1.37,0.029999999999999805,2.1897810218977956
2012-08-01,201208,1.39,1.31,0.07999999999999985,6.1068702290076216
2012-09-01,201209,1.38,1.46,-0.08000000000000007,-5.479452054794526
2012-10-01,201210,1.39,1.48,-0.09000000000000008,-6.081081081081086
2012-11-01,201211,1.38,1.45,-0.07000000000000006,-4.827586206896556
2012-12-01,201212,1.39,1.2,0.18999999999999995,15.83333333333333
2013-01-01,201301,1.39,1.51,-0.1200000000000001,-7.947019867549676
2013-02-01,201302,1.38,1.53,-0.15000000000000013,-9.803921568627459
2013-03-01,201303,1.39,1.36,0.029999999999999805,2.205882352941162
2013-04-01,201304,1.4,1.42,-0.020000000000000018,-1.4084507042253533
2013-05-01,201305,1.4,1.32,0.07999999999999985,6.060606060606049
2013-06-01,201306,1.4,1.38,0.020000000000000018,1.449275362318842
2013-07-01,201307,1.4,1.35,0.04999999999999982,3.7037037037036904
2013-08-01,201308,1.41,1.32,0.08999999999999986,6.818181818181807
2013-09-01,201309,1.42,1.51,-0.09000000000000008,-5.960264900662257
2013-10-01,201310,1.43,1.51,-0.08000000000000007,-5.298013245033117
2013-11-01,201311,1.45,1.51,-0.06000000000000005,-3.973509933774838
